articulograph,trial,sensor,sensorSet,positionPair,error
WAVE,t1,s1,sw1,onetwo,0.065
WAVE,t1,s1,sw1,twothree,0.2786
WAVE,t1,s1,sw1,threefour,0.5211
WAVE,t1,s1,sw1,fourfive,0.7316
WAVE,t1,s1,sw1,fivesix,1.1579
WAVE,t1,s1,sw1,seveneight,1.0948
WAVE,t1,s1,sw1,eightnine,1.3141
WAVE,t1,s1,sw1,teneleven,0.2108
WAVE,t1,s1,sw1,eleventwelve,0.0013
WAVE,t1,s1,sw1,thirteenfourteen,0.0853
WAVE,t1,s1,sw1,fourteenfifteen,0.0624
WAVE,t1,s2,sw1,onetwo,0.0428
WAVE,t1,s2,sw1,twothree,0.2058
WAVE,t1,s2,sw1,threefour,0.4449
WAVE,t1,s2,sw1,fourfive,0.8278
WAVE,t1,s2,sw1,fivesix,1.5721
WAVE,t1,s2,sw1,seveneight,2.4423
WAVE,t1,s2,sw1,eightnine,0.8845
WAVE,t1,s2,sw1,teneleven,0.0744
WAVE,t1,s2,sw1,eleventwelve,0.0412
WAVE,t1,s2,sw1,thirteenfourteen,0.0112
WAVE,t1,s2,sw1,fourteenfifteen,0.1085
VOX,t1,s1,sv1,onetwo,0.0912
VOX,t1,s1,sv1,twothree,0.1106
VOX,t1,s1,sv1,threefour,0.1183
VOX,t1,s1,sv1,fourfive,0.2218
VOX,t1,s1,sv1,fivesix,0.3876
VOX,t1,s1,sv1,seveneight,0.0704
VOX,t1,s1,sv1,eightnine,0.2479
VOX,t1,s1,sv1,teneleven,0.0706
VOX,t1,s1,sv1,eleventwelve,0.5213
VOX,t1,s1,sv1,thirteenfourteen,0.1827
VOX,t1,s1,sv1,fourteenfifteen,0.1704
VOX,t1,s2,sv1,onetwo,0.0608
VOX,t1,s2,sv1,twothree,0.1077
VOX,t1,s2,sv1,threefour,0.2241
VOX,t1,s2,sv1,fourfive,0.3412
VOX,t1,s2,sv1,fivesix,0.5191
VOX,t1,s2,sv1,seveneight,0.136
VOX,t1,s2,sv1,eightnine,0.3845
VOX,t1,s2,sv1,teneleven,0.0653
VOX,t1,s2,sv1,eleventwelve,0.639
VOX,t1,s2,sv1,thirteenfourteen,0.1579
VOX,t1,s2,sv1,fourteenfifteen,0.6373
WAVE,t2,s1,sw1,onetwo,0.0649
WAVE,t2,s1,sw1,twothree,0.2941
WAVE,t2,s1,sw1,threefour,0.5237
WAVE,t2,s1,sw1,fourfive,0.73
WAVE,t2,s1,sw1,fivesix,1.1898
WAVE,t2,s1,sw1,seveneight,1.1298
WAVE,t2,s1,sw1,eightnine,1.3151
WAVE,t2,s1,sw1,teneleven,0.2159
WAVE,t2,s1,sw1,eleventwelve,0.0034
WAVE,t2,s1,sw1,thirteenfourteen,0.0842
WAVE,t2,s1,sw1,fourteenfifteen,0.0624
WAVE,t2,s2,sw1,onetwo,0.0365
WAVE,t2,s2,sw1,twothree,0.1937
WAVE,t2,s2,sw1,threefour,0.4685
WAVE,t2,s2,sw1,fourfive,0.7814
WAVE,t2,s2,sw1,fivesix,1.6999
WAVE,t2,s2,sw1,seveneight,2.4139
WAVE,t2,s2,sw1,eightnine,0.9242
WAVE,t2,s2,sw1,teneleven,0.0735
WAVE,t2,s2,sw1,eleventwelve,0.0395
WAVE,t2,s2,sw1,thirteenfourteen,0.0143
WAVE,t2,s2,sw1,fourteenfifteen,0.1094
VOX,t2,s1,sv1,onetwo,0.0898
VOX,t2,s1,sv1,twothree,0.1117
VOX,t2,s1,sv1,threefour,0.12
VOX,t2,s1,sv1,fourfive,0.2149
VOX,t2,s1,sv1,fivesix,0.3853
VOX,t2,s1,sv1,seveneight,0.072
VOX,t2,s1,sv1,eightnine,0.2495
VOX,t2,s1,sv1,teneleven,0.1128
VOX,t2,s1,sv1,eleventwelve,0.5221
VOX,t2,s1,sv1,thirteenfourteen,0.1825
VOX,t2,s1,sv1,fourteenfifteen,0.138
VOX,t2,s2,sv1,onetwo,0.0598
VOX,t2,s2,sv1,twothree,0.1073
VOX,t2,s2,sv1,threefour,0.2242
VOX,t2,s2,sv1,fourfive,0.3457
VOX,t2,s2,sv1,fivesix,0.5313
VOX,t2,s2,sv1,seveneight,0.136
VOX,t2,s2,sv1,eightnine,0.3772
VOX,t2,s2,sv1,teneleven,0.066
VOX,t2,s2,sv1,eleventwelve,0.6397
VOX,t2,s2,sv1,thirteenfourteen,0.1573
VOX,t2,s2,sv1,fourteenfifteen,0.6387
WAVE,t3,s1,sw2,onetwo,0.0852
WAVE,t3,s1,sw2,twothree,0.0467
WAVE,t3,s1,sw2,threefour,0.0055
WAVE,t3,s1,sw2,fourfive,0.1587
WAVE,t3,s1,sw2,fivesix,0.1245
WAVE,t3,s1,sw2,seveneight,0.5157
