articulograph,trial,sensorSet,dynamicTask,sensor,missing
WAVE,t1,sw1a,automatedSlow,sa1,1.6
WAVE,t1,sw1a,automatedSlow,sa2,4.5
WAVE,t1,sw1a,automatedSlow,sa3,0
WAVE,t1,sw1a,automatedSlow,sa4,0
WAVE,t1,sw1a,automatedSlow,sa5,0
WAVE,t1,sw1a,automatedSlow,sa6,0
WAVE,t1,sw1a,automatedSlow,sa7,0
WAVE,t1,sw1a,automatedSlow,sa8,0
WAVE,t1,sw1a,automatedMedium,sa1,6
WAVE,t1,sw1a,automatedMedium,sa2,6
WAVE,t1,sw1a,automatedMedium,sa3,0
WAVE,t1,sw1a,automatedMedium,sa4,0
WAVE,t1,sw1a,automatedMedium,sa5,0
WAVE,t1,sw1a,automatedMedium,sa6,0
WAVE,t1,sw1a,automatedMedium,sa7,0
WAVE,t1,sw1a,automatedMedium,sa8,0
WAVE,t1,sw1a,automatedFast,sa1,10.3
WAVE,t1,sw1a,automatedFast,sa2,10.5
WAVE,t1,sw1a,automatedFast,sa3,0
WAVE,t1,sw1a,automatedFast,sa4,0
WAVE,t1,sw1a,automatedFast,sa5,0
WAVE,t1,sw1a,automatedFast,sa6,0
WAVE,t1,sw1a,automatedFast,sa7,0
WAVE,t1,sw1a,automatedFast,sa8,0
WAVE,t1,sw1b,blockSmall,bs1,0.05
WAVE,t1,sw1b,blockSmall,bs2,0
WAVE,t1,sw1b,blockSmall,bs3,0
WAVE,t1,sw1b,blockSmall,bs4,0
WAVE,t1,sw1b,blockSmall,bs5,0
WAVE,t1,sw1b,blockSmall,bs6,0
WAVE,t1,sw1b,blockSmall,bs7,0
WAVE,t1,sw1b,blockSmall,bs8,0.01
WAVE,t1,sw1b,blockLarge,bs1,1
WAVE,t1,sw1b,blockLarge,bs2,0.01
WAVE,t1,sw1b,blockLarge,bs3,0
WAVE,t1,sw1b,blockLarge,bs4,0
WAVE,t1,sw1b,blockLarge,bs5,0
WAVE,t1,sw1b,blockLarge,bs6,0
WAVE,t1,sw1b,blockLarge,bs7,0.02
WAVE,t1,sw1b,blockLarge,bs8,0.37
WAVE,t1,sw1b,CD,cds1,0.22
WAVE,t1,sw1b,CD,cds2,0.25
WAVE,t1,sw1b,CD,cds3,0
WAVE,t1,sw1b,CD,cds4,0
WAVE,t1,sw1b,CD,cds5,0
VOX,t1,sv1a,automatedSlow,sa1,0
VOX,t1,sv1a,automatedSlow,sa2,0
VOX,t1,sv1a,automatedSlow,sa3,0
VOX,t1,sv1a,automatedSlow,sa4,0
VOX,t1,sv1a,automatedSlow,sa5,0
VOX,t1,sv1a,automatedSlow,sa6,0
VOX,t1,sv1a,automatedSlow,sa7,0
VOX,t1,sv1a,automatedSlow,sa8,0
VOX,t1,sv1a,automatedMedium,sa1,0
VOX,t1,sv1a,automatedMedium,sa2,0
VOX,t1,sv1a,automatedMedium,sa3,0
VOX,t1,sv1a,automatedMedium,sa4,0
VOX,t1,sv1a,automatedMedium,sa5,0
VOX,t1,sv1a,automatedMedium,sa6,0
VOX,t1,sv1a,automatedMedium,sa7,0
VOX,t1,sv1a,automatedMedium,sa8,0.1
VOX,t1,sv1a,automatedFast,sa1,0
VOX,t1,sv1a,automatedFast,sa2,0
VOX,t1,sv1a,automatedFast,sa3,0
VOX,t1,sv1a,automatedFast,sa4,0
VOX,t1,sv1a,automatedFast,sa5,0
VOX,t1,sv1a,automatedFast,sa6,0
VOX,t1,sv1a,automatedFast,sa7,0
VOX,t1,sv1a,automatedFast,sa8,0.2
VOX,t1,sv1b,blockSmall,bs1,0
VOX,t1,sv1b,blockSmall,bs2,0
VOX,t1,sv1b,blockSmall,bs3,0
VOX,t1,sv1b,blockSmall,bs4,0
VOX,t1,sv1b,blockSmall,bs5,0
VOX,t1,sv1b,blockSmall,bs6,0
VOX,t1,sv1b,blockSmall,bs7,0
VOX,t1,sv1b,blockSmall,bs8,0
VOX,t1,sv1b,blockLarge,bs1,0
VOX,t1,sv1b,blockLarge,bs2,0
VOX,t1,sv1b,blockLarge,bs3,0
VOX,t1,sv1b,blockLarge,bs4,0
VOX,t1,sv1b,blockLarge,bs5,0
VOX,t1,sv1b,blockLarge,bs6,0
VOX,t1,sv1b,blockLarge,bs7,0
VOX,t1,sv1b,blockLarge,bs8,0
VOX,t1,sv1b,CD,cds1,0.96
VOX,t1,sv1b,CD,cds2,0.87
VOX,t1,sv1b,CD,cds3,0
VOX,t1,sv1b,CD,cds4,0
VOX,t1,sv1b,CD,cds5,0
WAVE,t2,sw1a,automatedSlow,sa1,1.4
WAVE,t2,sw1a,automatedSlow,sa2,1.3
WAVE,t2,sw1a,automatedSlow,sa3,0
WAVE,t2,sw1a,automatedSlow,sa4,0
WAVE,t2,sw1a,automatedSlow,sa5,0
WAVE,t2,sw1a,automatedSlow,sa6,0
WAVE,t2,sw1a,automatedSlow,sa7,0
WAVE,t2,sw1a,automatedSlow,sa8,0.9
WAVE,t2,sw1a,automatedMedium,sa1,5.4
WAVE,t2,sw1a,automatedMedium,sa2,5.2
WAVE,t2,sw1a,automatedMedium,sa3,0
WAVE,t2,sw1a,automatedMedium,sa4,0
WAVE,t2,sw1a,automatedMedium,sa5,0
WAVE,t2,sw1a,automatedMedium,sa6,0
WAVE,t2,sw1a,automatedMedium,sa7,0
WAVE,t2,sw1a,automatedMedium,sa8,0
WAVE,t2,sw1a,automatedFast,sa1,12
WAVE,t2,sw1a,automatedFast,sa2,9.5
WAVE,t2,sw1a,automatedFast,sa3,0
WAVE,t2,sw1a,automatedFast,sa4,0
WAVE,t2,sw1a,automatedFast,sa5,0
WAVE,t2,sw1a,automatedFast,sa6,0
WAVE,t2,sw1a,automatedFast,sa7,0
WAVE,t2,sw1a,automatedFast,sa8,0
WAVE,t2,sw1b,blockSmall,bs1,0
WAVE,t2,sw1b,blockSmall,bs2,0
WAVE,t2,sw1b,blockSmall,bs3,0
WAVE,t2,sw1b,blockSmall,bs4,0
WAVE,t2,sw1b,blockSmall,bs5,0
WAVE,t2,sw1b,blockSmall,bs6,0
WAVE,t2,sw1b,blockSmall,bs7,0
WAVE,t2,sw1b,blockSmall,bs8,0
WAVE,t2,sw1b,blockLarge,bs1,1.1
WAVE,t2,sw1b,blockLarge,bs2,0.1
WAVE,t2,sw1b,blockLarge,bs3,0
WAVE,t2,sw1b,blockLarge,bs4,0
WAVE,t2,sw1b,blockLarge,bs5,0
WAVE,t2,sw1b,blockLarge,bs6,0.01
WAVE,t2,sw1b,blockLarge,bs7,0.1
WAVE,t2,sw1b,blockLarge,bs8,0.2
WAVE,t2,sw1b,CD,cds1,0.1
WAVE,t2,sw1b,CD,cds2,0.3
WAVE,t2,sw1b,CD,cds3,0
WAVE,t2,sw1b,CD,cds4,0
WAVE,t2,sw1b,CD,cds5,0
VOX,t2,sv1a,automatedSlow,sa1,0
VOX,t2,sv1a,automatedSlow,sa2,0
VOX,t2,sv1a,automatedSlow,sa3,0
VOX,t2,sv1a,automatedSlow,sa4,0
VOX,t2,sv1a,automatedSlow,sa5,0
VOX,t2,sv1a,automatedSlow,sa6,0
VOX,t2,sv1a,automatedSlow,sa7,0
VOX,t2,sv1a,automatedSlow,sa8,0
VOX,t2,sv1a,automatedMedium,sa1,0
VOX,t2,sv1a,automatedMedium,sa2,0
VOX,t2,sv1a,automatedMedium,sa3,0
VOX,t2,sv1a,automatedMedium,sa4,0
VOX,t2,sv1a,automatedMedium,sa5,0
VOX,t2,sv1a,automatedMedium,sa6,0
VOX,t2,sv1a,automatedMedium,sa7,0
VOX,t2,sv1a,automatedMedium,sa8,0.8
VOX,t2,sv1a,automatedFast,sa1,0
VOX,t2,sv1a,automatedFast,sa2,0
VOX,t2,sv1a,automatedFast,sa3,0
VOX,t2,sv1a,automatedFast,sa4,0
VOX,t2,sv1a,automatedFast,sa5,0
VOX,t2,sv1a,automatedFast,sa6,0
VOX,t2,sv1a,automatedFast,sa7,0
VOX,t2,sv1a,automatedFast,sa8,0.2
VOX,t2,sv1b,blockSmall,bs1,0
VOX,t2,sv1b,blockSmall,bs2,0
VOX,t2,sv1b,blockSmall,bs3,0
VOX,t2,sv1b,blockSmall,bs4,0
VOX,t2,sv1b,blockSmall,bs5,0
VOX,t2,sv1b,blockSmall,bs6,0
VOX,t2,sv1b,blockSmall,bs7,0
VOX,t2,sv1b,blockSmall,bs8,0
VOX,t2,sv1b,blockLarge,bs1,0.3
VOX,t2,sv1b,blockLarge,bs2,0
VOX,t2,sv1b,blockLarge,bs3,0.2
VOX,t2,sv1b,blockLarge,bs4,0
VOX,t2,sv1b,blockLarge,bs5,0
