articulograph,position,trial,sensor,coordinate,SD
WAVE,p1,t1,s1,Qx,0.0151
WAVE,p1,t1,s2,Qx,0.0261
WAVE,p1,t1,s3,Qx,0.0104
WAVE,p1,t1,s4,Qx,0.0051
WAVE,p1,t1,s5,Qx,0.0084
WAVE,p1,t1,s6,Qx,0.0133
WAVE,p1,t1,s7,Qx,0.0604
WAVE,p1,t1,s8,Qx,0.0374
VOX,p1,t1,s1,Qx,0.0345
VOX,p1,t1,s2,Qx,0.0031
VOX,p1,t1,s3,Qx,0.0129
VOX,p1,t1,s4,Qx,0.002
VOX,p1,t1,s5,Qx,0.0015
VOX,p1,t1,s6,Qx,0.0031
VOX,p1,t1,s7,Qx,0.0026
VOX,p1,t1,s8,Qx,0.004
WAVE,p1,t1,s1,Qy,0.0459
WAVE,p1,t1,s2,Qy,0.0114
WAVE,p1,t1,s3,Qy,0.0257
WAVE,p1,t1,s4,Qy,0.024
WAVE,p1,t1,s5,Qy,0.0375
WAVE,p1,t1,s6,Qy,0.0223
WAVE,p1,t1,s7,Qy,0.0264
WAVE,p1,t1,s8,Qy,0.0217
VOX,p1,t1,s1,Qy,0.0121
VOX,p1,t1,s2,Qy,0.0029
VOX,p1,t1,s3,Qy,0.0165
VOX,p1,t1,s4,Qy,0.0023
VOX,p1,t1,s5,Qy,0.0015
VOX,p1,t1,s6,Qy,0.0028
VOX,p1,t1,s7,Qy,0.0028
VOX,p1,t1,s8,Qy,0.0064
WAVE,p1,t1,s1,Qz,0.0243
WAVE,p1,t1,s2,Qz,0.0307
WAVE,p1,t1,s3,Qz,0.0164
WAVE,p1,t1,s4,Qz,0.0159
WAVE,p1,t1,s5,Qz,0.0179
WAVE,p1,t1,s6,Qz,0.0126
WAVE,p1,t1,s7,Qz,0.0293
WAVE,p1,t1,s8,Qz,0.0167
VOX,p1,t1,s1,Qz,0.0132
VOX,p1,t1,s2,Qz,0.0025
VOX,p1,t1,s3,Qz,0.0189
VOX,p1,t1,s4,Qz,0.0024
VOX,p1,t1,s5,Qz,0.0014
VOX,p1,t1,s6,Qz,0.002
VOX,p1,t1,s7,Qz,0.0022
VOX,p1,t1,s8,Qz,0.0055
WAVE,p1,t1,s1,pitch,0.0072
WAVE,p1,t1,s2,pitch,0.0099
WAVE,p1,t1,s3,pitch,0.0049
WAVE,p1,t1,s4,pitch,0.0044
WAVE,p1,t1,s5,pitch,0.0058
WAVE,p1,t1,s6,pitch,0.0063
WAVE,p1,t1,s7,pitch,0.0154
WAVE,p1,t1,s8,pitch,0.0062
VOX,p1,t1,s1,pitch,0.0229
VOX,p1,t1,s2,pitch,0.0027
VOX,p1,t1,s3,pitch,0.0131
VOX,p1,t1,s4,pitch,0.002
VOX,p1,t1,s5,pitch,0.0017
VOX,p1,t1,s6,pitch,0.0028
VOX,p1,t1,s7,pitch,0.0025
VOX,p1,t1,s8,pitch,0.0039
WAVE,p1,t1,s1,yaw,0.0221
WAVE,p1,t1,s2,yaw,0.0124
WAVE,p1,t1,s3,yaw,0.1158
WAVE,p1,t1,s4,yaw,0.0372
WAVE,p1,t1,s5,yaw,0.035
WAVE,p1,t1,s6,yaw,0.0173
WAVE,p1,t1,s7,yaw,0.0063
WAVE,p1,t1,s8,yaw,0.0041
VOX,p1,t1,s1,yaw,0.5763
VOX,p1,t1,s2,yaw,0.0001
VOX,p1,t1,s3,yaw,0.1837
VOX,p1,t1,s4,yaw,0.0001
VOX,p1,t1,s5,yaw,0.0658
VOX,p1,t1,s6,yaw,0.0001
VOX,p1,t1,s7,yaw,0.0393
VOX,p1,t1,s8,yaw,0.0004
WAVE,p2,t1,s1,Qx,0.0157
WAVE,p2,t1,s2,Qx,0.047
WAVE,p2,t1,s3,Qx,0.0107
WAVE,p2,t1,s4,Qx,0.0149
WAVE,p2,t1,s5,Qx,0.0109
WAVE,p2,t1,s6,Qx,0.0315
WAVE,p2,t1,s7,Qx,0.0476
WAVE,p2,t1,s8,Qx,0.0633
VOX,p2,t1,s1,Qx,0.0053
VOX,p2,t1,s2,Qx,0.0053
VOX,p2,t1,s3,Qx,0.0041
VOX,p2,t1,s4,Qx,0.0043
VOX,p2,t1,s5,Qx,0.0028
VOX,p2,t1,s6,Qx,0.0049
VOX,p2,t1,s7,Qx,0.0043
VOX,p2,t1,s8,Qx,0.0075
WAVE,p2,t1,s1,Qy,0.0372
WAVE,p2,t1,s2,Qy,0.0284
WAVE,p2,t1,s3,Qy,0.0273
WAVE,p2,t1,s4,Qy,0.0501
WAVE,p2,t1,s5,Qy,0.0329
WAVE,p2,t1,s6,Qy,0.0476
WAVE,p2,t1,s7,Qy,0.0257
WAVE,p2,t1,s8,Qy,0.0432
VOX,p2,t1,s1,Qy,0.0039
VOX,p2,t1,s2,Qy,0.0052
VOX,p2,t1,s3,Qy,0.0043
VOX,p2,t1,s4,Qy,0.0058
VOX,p2,t1,s5,Qy,0.0037
VOX,p2,t1,s6,Qy,0.0067
VOX,p2,t1,s7,Qy,0.0068
VOX,p2,t1,s8,Qy,0.0115
WAVE,p2,t1,s1,Qz,0.0346
WAVE,p2,t1,s2,Qz,0.0519
WAVE,p2,t1,s3,Qz,0.0234
WAVE,p2,t1,s4,Qz,0.0374
WAVE,p2,t1,s5,Qz,0.0216
WAVE,p2,t1,s6,Qz,0.028
WAVE,p2,t1,s7,Qz,0.0246
WAVE,p2,t1,s8,Qz,0.0351
VOX,p2,t1,s1,Qz,0.0028
VOX,p2,t1,s2,Qz,0.0037
VOX,p2,t1,s3,Qz,0.004
VOX,p2,t1,s4,Qz,0.0039
VOX,p2,t1,s5,Qz,0.0026
VOX,p2,t1,s6,Qz,0.0039
VOX,p2,t1,s7,Qz,0.004
VOX,p2,t1,s8,Qz,0.0077
WAVE,p2,t1,s1,pitch,0.006
WAVE,p2,t1,s2,pitch,0.0128
WAVE,p2,t1,s3,pitch,0.0045
WAVE,p2,t1,s4,pitch,0.0073
WAVE,p2,t1,s5,pitch,0.0055
WAVE,p2,t1,s6,pitch,0.0111
WAVE,p2,t1,s7,pitch,0.0094
WAVE,p2,t1,s8,pitch,0.0087
VOX,p2,t1,s1,pitch,0.0037
VOX,p2,t1,s2,pitch,0.0039
VOX,p2,t1,s3,pitch,0.0033
VOX,p2,t1,s4,pitch,0.0033
VOX,p2,t1,s5,pitch,0.0025
VOX,p2,t1,s6,pitch,0.0038
VOX,p2,t1,s7,pitch,0.0036
VOX,p2,t1,s8,pitch,0.006
WAVE,p2,t1,s1,yaw,0.0141
WAVE,p2,t1,s2,yaw,0.0163
WAVE,p2,t1,s3,yaw,0.0903
WAVE,p2,t1,s4,yaw,0.0953
WAVE,p2,t1,s5,yaw,0.0287
WAVE,p2,t1,s6,yaw,0.0314
WAVE,p2,t1,s7,yaw,0.0056
WAVE,p2,t1,s8,yaw,0.0072
VOX,p2,t1,s1,yaw,0.0906
VOX,p2,t1,s2,yaw,0.0001
VOX,p2,t1,s3,yaw,0.0516
VOX,p2,t1,s4,yaw,0.0001
VOX,p2,t1,s5,yaw,0.0907
