articulograph,rigidBody,speed,trial,sensorSet,SD
wave,circle,0,t1,w1,0.76
wave,circle,1,t1,w1,3.74
wave,circle,2,t1,w1,5.16
wave,circle,3,t1,w1,6.27
wave,eccentricSmall,0,t1,w1,0.09
wave,eccentricSmall,1,t1,w1,0.23
wave,eccentricSmall,2,t1,w1,0.33
wave,eccentricSmall,3,t1,w1,0.44
wave,eccentricLarge,0,t1,w1,0.03
wave,eccentricLarge,1,t1,w1,0.09
wave,eccentricLarge,2,t1,w1,0.12
wave,eccentricLarge,3,t1,w1,0.15
wave,static,0,t1,w1,0.08
wave,static,1,t1,w1,0.09
wave,static,2,t1,w1,0.09
wave,static,3,t1,w1,0.09
wave,piston,0,t1,w1,0.01
wave,piston,1,t1,w1,0.15
wave,piston,2,t1,w1,0.26
wave,piston,3,t1,w1,0.4
vox,circle,0,t1,v1,0.04
vox,circle,1,t1,v1,0.24
vox,circle,2,t1,v1,0.26
vox,circle,3,t1,v1,0.29
vox,eccentricSmall,0,t1,v1,0.02
vox,eccentricSmall,1,t1,v1,0.05
vox,eccentricSmall,2,t1,v1,0.06
vox,eccentricSmall,3,t1,v1,0.07
vox,eccentricLarge,0,t1,v1,0.01
vox,eccentricLarge,1,t1,v1,0.03
vox,eccentricLarge,2,t1,v1,0.05
vox,eccentricLarge,3,t1,v1,0.09
vox,static,0,t1,v1,0.01
vox,static,1,t1,v1,0.01
vox,static,2,t1,v1,0.01
vox,static,3,t1,v1,0.01
vox,piston,0,t1,v1,0.01
vox,piston,1,t1,v1,0.03
vox,piston,2,t1,v1,0.06
vox,piston,3,t1,v1,0.08
wave,circle,0,t2,w1,0.79
wave,circle,1,t2,w1,3.9
wave,circle,2,t2,w1,5.56
wave,circle,3,t2,w1,7.04
wave,eccentricSmall,0,t2,w1,0.08
wave,eccentricSmall,1,t2,w1,0.22
wave,eccentricSmall,2,t2,w1,0.29
wave,eccentricSmall,3,t2,w1,0.41
wave,eccentricLarge,0,t2,w1,0.02
wave,eccentricLarge,1,t2,w1,0.08
wave,eccentricLarge,2,t2,w1,0.1
wave,eccentricLarge,3,t2,w1,0.17
wave,static,0,t2,w1,0.09
wave,static,1,t2,w1,0.09
wave,static,2,t2,w1,0.09
wave,static,3,t2,w1,0.1
wave,piston,0,t2,w1,0.01
wave,piston,1,t2,w1,0.13
wave,piston,2,t2,w1,0.28
wave,piston,3,t2,w1,0.51
vox,circle,0,t2,v1,0.05
vox,circle,1,t2,v1,0.25
vox,circle,2,t2,v1,0.27
vox,circle,3,t2,v1,0.35
vox,eccentricSmall,0,t2,v1,0.02
vox,eccentricSmall,1,t2,v1,0.05
vox,eccentricSmall,2,t2,v1,0.06
vox,eccentricSmall,3,t2,v1,0.08
vox,eccentricLarge,0,t2,v1,0.01
vox,eccentricLarge,1,t2,v1,0.02
vox,eccentricLarge,2,t2,v1,0.04
vox,eccentricLarge,3,t2,v1,0.08
vox,static,0,t2,v1,0.01
vox,static,1,t2,v1,0.01
vox,static,2,t2,v1,0.01
vox,static,3,t2,v1,0.01
vox,piston,0,t2,v1,0.01
vox,piston,1,t2,v1,0.03
vox,piston,2,t2,v1,0.05
vox,piston,3,t2,v1,0.09
wave,circle,0,t3,w2,0.39
